architecture,dropout,layer_1_size,layer_2_size,layer_3_size,pooling,pretrained_model_name,sequence_length,sequence_model,sequence_model_layers,model_id,WORKER
image_MLP_frozen,0.2,512,512,512,max,inception_resnet_v2,1.0,,,0,0
image_MLP_frozen,0.2,512,512,256,max,inception_resnet_v2,1.0,,,1,1
image_MLP_frozen,0.2,512,512,128,max,inception_resnet_v2,1.0,,,2,2
image_MLP_frozen,0.2,512,512,0,max,inception_resnet_v2,1.0,,,3,3
image_MLP_frozen,0.2,512,256,512,max,inception_resnet_v2,1.0,,,4,4
image_MLP_frozen,0.2,512,256,256,max,inception_resnet_v2,1.0,,,5,5
image_MLP_frozen,0.2,512,256,128,max,inception_resnet_v2,1.0,,,6,6
image_MLP_frozen,0.2,512,256,0,max,inception_resnet_v2,1.0,,,7,7
image_MLP_frozen,0.2,512,128,512,max,inception_resnet_v2,1.0,,,8,0
image_MLP_frozen,0.2,512,128,256,max,inception_resnet_v2,1.0,,,9,1
image_MLP_frozen,0.2,512,128,128,max,inception_resnet_v2,1.0,,,10,2
image_MLP_frozen,0.2,512,128,0,max,inception_resnet_v2,1.0,,,11,3
image_MLP_frozen,0.2,512,0,512,max,inception_resnet_v2,1.0,,,12,4
image_MLP_frozen,0.2,512,0,256,max,inception_resnet_v2,1.0,,,13,5
image_MLP_frozen,0.2,512,0,128,max,inception_resnet_v2,1.0,,,14,6
image_MLP_frozen,0.2,512,0,0,max,inception_resnet_v2,1.0,,,15,7
image_MLP_frozen,0.2,256,512,512,max,inception_resnet_v2,1.0,,,16,0
image_MLP_frozen,0.2,256,512,256,max,inception_resnet_v2,1.0,,,17,1
image_MLP_frozen,0.2,256,512,128,max,inception_resnet_v2,1.0,,,18,2
image_MLP_frozen,0.2,256,512,0,max,inception_resnet_v2,1.0,,,19,3
image_MLP_frozen,0.2,256,256,512,max,inception_resnet_v2,1.0,,,20,4
image_MLP_frozen,0.2,256,256,256,max,inception_resnet_v2,1.0,,,21,5
image_MLP_frozen,0.2,256,256,128,max,inception_resnet_v2,1.0,,,22,6
image_MLP_frozen,0.2,256,256,0,max,inception_resnet_v2,1.0,,,23,7
image_MLP_frozen,0.2,256,128,512,max,inception_resnet_v2,1.0,,,24,0
image_MLP_frozen,0.2,256,128,256,max,inception_resnet_v2,1.0,,,25,1
image_MLP_frozen,0.2,256,128,128,max,inception_resnet_v2,1.0,,,26,2
image_MLP_frozen,0.2,256,128,0,max,inception_resnet_v2,1.0,,,27,3
image_MLP_frozen,0.2,256,0,512,max,inception_resnet_v2,1.0,,,28,4
image_MLP_frozen,0.2,256,0,256,max,inception_resnet_v2,1.0,,,29,5
image_MLP_frozen,0.2,256,0,128,max,inception_resnet_v2,1.0,,,30,6
image_MLP_frozen,0.2,256,0,0,max,inception_resnet_v2,1.0,,,31,7
image_MLP_frozen,0.2,128,512,512,max,inception_resnet_v2,1.0,,,32,0
image_MLP_frozen,0.2,128,512,256,max,inception_resnet_v2,1.0,,,33,1
image_MLP_frozen,0.2,128,512,128,max,inception_resnet_v2,1.0,,,34,2
image_MLP_frozen,0.2,128,512,0,max,inception_resnet_v2,1.0,,,35,3
image_MLP_frozen,0.2,128,256,512,max,inception_resnet_v2,1.0,,,36,4
image_MLP_frozen,0.2,128,256,256,max,inception_resnet_v2,1.0,,,37,5
image_MLP_frozen,0.2,128,256,128,max,inception_resnet_v2,1.0,,,38,6
image_MLP_frozen,0.2,128,256,0,max,inception_resnet_v2,1.0,,,39,7
image_MLP_frozen,0.2,128,128,512,max,inception_resnet_v2,1.0,,,40,0
image_MLP_frozen,0.2,128,128,256,max,inception_resnet_v2,1.0,,,41,1
image_MLP_frozen,0.2,128,128,128,max,inception_resnet_v2,1.0,,,42,2
image_MLP_frozen,0.2,128,128,0,max,inception_resnet_v2,1.0,,,43,3
image_MLP_frozen,0.2,128,0,512,max,inception_resnet_v2,1.0,,,44,4
image_MLP_frozen,0.2,128,0,256,max,inception_resnet_v2,1.0,,,45,5
image_MLP_frozen,0.2,128,0,128,max,inception_resnet_v2,1.0,,,46,6
image_MLP_frozen,0.2,128,0,0,max,inception_resnet_v2,1.0,,,47,7
image_MLP_frozen,0.2,0,512,512,max,inception_resnet_v2,1.0,,,48,0
image_MLP_frozen,0.2,0,512,256,max,inception_resnet_v2,1.0,,,49,1
image_MLP_frozen,0.2,0,512,128,max,inception_resnet_v2,1.0,,,50,2
image_MLP_frozen,0.2,0,512,0,max,inception_resnet_v2,1.0,,,51,3
image_MLP_frozen,0.2,0,256,512,max,inception_resnet_v2,1.0,,,52,4
image_MLP_frozen,0.2,0,256,256,max,inception_resnet_v2,1.0,,,53,5
image_MLP_frozen,0.2,0,256,128,max,inception_resnet_v2,1.0,,,54,6
image_MLP_frozen,0.2,0,256,0,max,inception_resnet_v2,1.0,,,55,7
image_MLP_frozen,0.2,0,128,512,max,inception_resnet_v2,1.0,,,56,0
image_MLP_frozen,0.2,0,128,256,max,inception_resnet_v2,1.0,,,57,1
image_MLP_frozen,0.2,0,128,128,max,inception_resnet_v2,1.0,,,58,2
image_MLP_frozen,0.2,0,128,0,max,inception_resnet_v2,1.0,,,59,3
image_MLP_frozen,0.2,0,0,512,max,inception_resnet_v2,1.0,,,60,4
image_MLP_frozen,0.2,0,0,256,max,inception_resnet_v2,1.0,,,61,5
image_MLP_frozen,0.2,0,0,128,max,inception_resnet_v2,1.0,,,62,6
image_MLP_frozen,0.2,0,0,0,max,inception_resnet_v2,1.0,,,63,7
image_MLP_frozen,0.2,512,512,512,max,vgg16,1.0,,,64,0
image_MLP_frozen,0.2,512,512,256,max,vgg16,1.0,,,65,1
image_MLP_frozen,0.2,512,512,128,max,vgg16,1.0,,,66,2
image_MLP_frozen,0.2,512,512,0,max,vgg16,1.0,,,67,3
image_MLP_frozen,0.2,512,256,512,max,vgg16,1.0,,,68,4
image_MLP_frozen,0.2,512,256,256,max,vgg16,1.0,,,69,5
image_MLP_frozen,0.2,512,256,128,max,vgg16,1.0,,,70,6
image_MLP_frozen,0.2,512,256,0,max,vgg16,1.0,,,71,7
image_MLP_frozen,0.2,512,128,512,max,vgg16,1.0,,,72,0
image_MLP_frozen,0.2,512,128,256,max,vgg16,1.0,,,73,1
image_MLP_frozen,0.2,512,128,128,max,vgg16,1.0,,,74,2
image_MLP_frozen,0.2,512,128,0,max,vgg16,1.0,,,75,3
image_MLP_frozen,0.2,512,0,512,max,vgg16,1.0,,,76,4
image_MLP_frozen,0.2,512,0,256,max,vgg16,1.0,,,77,5
image_MLP_frozen,0.2,512,0,128,max,vgg16,1.0,,,78,6
image_MLP_frozen,0.2,512,0,0,max,vgg16,1.0,,,79,7
image_MLP_frozen,0.2,256,512,512,max,vgg16,1.0,,,80,0
image_MLP_frozen,0.2,256,512,256,max,vgg16,1.0,,,81,1
image_MLP_frozen,0.2,256,512,128,max,vgg16,1.0,,,82,2
image_MLP_frozen,0.2,256,512,0,max,vgg16,1.0,,,83,3
image_MLP_frozen,0.2,256,256,512,max,vgg16,1.0,,,84,4
image_MLP_frozen,0.2,256,256,256,max,vgg16,1.0,,,85,5
image_MLP_frozen,0.2,256,256,128,max,vgg16,1.0,,,86,6
image_MLP_frozen,0.2,256,256,0,max,vgg16,1.0,,,87,7
image_MLP_frozen,0.2,256,128,512,max,vgg16,1.0,,,88,0
image_MLP_frozen,0.2,256,128,256,max,vgg16,1.0,,,89,1
image_MLP_frozen,0.2,256,128,128,max,vgg16,1.0,,,90,2
image_MLP_frozen,0.2,256,128,0,max,vgg16,1.0,,,91,3
image_MLP_frozen,0.2,256,0,512,max,vgg16,1.0,,,92,4
image_MLP_frozen,0.2,256,0,256,max,vgg16,1.0,,,93,5
image_MLP_frozen,0.2,256,0,128,max,vgg16,1.0,,,94,6
image_MLP_frozen,0.2,256,0,0,max,vgg16,1.0,,,95,7
image_MLP_frozen,0.2,128,512,512,max,vgg16,1.0,,,96,0
image_MLP_frozen,0.2,128,512,256,max,vgg16,1.0,,,97,1
image_MLP_frozen,0.2,128,512,128,max,vgg16,1.0,,,98,2
image_MLP_frozen,0.2,128,512,0,max,vgg16,1.0,,,99,3
image_MLP_frozen,0.2,128,256,512,max,vgg16,1.0,,,100,4
image_MLP_frozen,0.2,128,256,256,max,vgg16,1.0,,,101,5
image_MLP_frozen,0.2,128,256,128,max,vgg16,1.0,,,102,6
image_MLP_frozen,0.2,128,256,0,max,vgg16,1.0,,,103,7
image_MLP_frozen,0.2,128,128,512,max,vgg16,1.0,,,104,0
image_MLP_frozen,0.2,128,128,256,max,vgg16,1.0,,,105,1
image_MLP_frozen,0.2,128,128,128,max,vgg16,1.0,,,106,2
image_MLP_frozen,0.2,128,128,0,max,vgg16,1.0,,,107,3
image_MLP_frozen,0.2,128,0,512,max,vgg16,1.0,,,108,4
image_MLP_frozen,0.2,128,0,256,max,vgg16,1.0,,,109,5
image_MLP_frozen,0.2,128,0,128,max,vgg16,1.0,,,110,6
image_MLP_frozen,0.2,128,0,0,max,vgg16,1.0,,,111,7
image_MLP_frozen,0.2,0,512,512,max,vgg16,1.0,,,112,0
image_MLP_frozen,0.2,0,512,256,max,vgg16,1.0,,,113,1
image_MLP_frozen,0.2,0,512,128,max,vgg16,1.0,,,114,2
image_MLP_frozen,0.2,0,512,0,max,vgg16,1.0,,,115,3
image_MLP_frozen,0.2,0,256,512,max,vgg16,1.0,,,116,4
image_MLP_frozen,0.2,0,256,256,max,vgg16,1.0,,,117,5
image_MLP_frozen,0.2,0,256,128,max,vgg16,1.0,,,118,6
image_MLP_frozen,0.2,0,256,0,max,vgg16,1.0,,,119,7
