video,frame,label,split
s1-218,s1-218-00001.jpeg,noseal,valid
s1-218,s1-218-00002.jpeg,noseal,valid
s1-218,s1-218-00003.jpeg,noseal,valid
s1-218,s1-218-00004.jpeg,noseal,valid
s1-218,s1-218-00005.jpeg,noseal,valid
s1-218,s1-218-00006.jpeg,noseal,valid
s1-218,s1-218-00007.jpeg,noseal,valid
s1-218,s1-218-00008.jpeg,noseal,valid
s1-218,s1-218-00009.jpeg,noseal,valid
s1-218,s1-218-00010.jpeg,noseal,valid
s1-218,s1-218-00011.jpeg,noseal,valid
s1-218,s1-218-00012.jpeg,noseal,valid
s1-218,s1-218-00013.jpeg,noseal,valid
s1-218,s1-218-00014.jpeg,noseal,valid
s1-218,s1-218-00015.jpeg,noseal,valid
s1-218,s1-218-00016.jpeg,noseal,valid
s1-218,s1-218-00017.jpeg,noseal,valid
s1-218,s1-218-00018.jpeg,noseal,valid
s1-218,s1-218-00019.jpeg,noseal,valid
s1-218,s1-218-00020.jpeg,noseal,valid
s1-218,s1-218-00021.jpeg,noseal,valid
s1-218,s1-218-00022.jpeg,noseal,valid
s1-218,s1-218-00023.jpeg,noseal,valid
s1-218,s1-218-00024.jpeg,noseal,valid
s1-218,s1-218-00025.jpeg,noseal,valid
s1-218,s1-218-00026.jpeg,noseal,valid
s1-218,s1-218-00027.jpeg,noseal,valid
s1-218,s1-218-00028.jpeg,noseal,valid
s1-218,s1-218-00029.jpeg,noseal,valid
s1-218,s1-218-00030.jpeg,noseal,valid
s1-218,s1-218-00031.jpeg,noseal,valid
s1-218,s1-218-00032.jpeg,noseal,valid
s1-218,s1-218-00033.jpeg,noseal,valid
s1-218,s1-218-00034.jpeg,noseal,valid
s1-218,s1-218-00035.jpeg,noseal,valid
s1-218,s1-218-00036.jpeg,noseal,valid
s1-218,s1-218-00037.jpeg,noseal,valid
s1-218,s1-218-00038.jpeg,noseal,valid
s1-218,s1-218-00039.jpeg,noseal,valid
s1-218,s1-218-00040.jpeg,noseal,valid
s1-218,s1-218-00041.jpeg,noseal,valid
