,architecture,batch_size,convolution_kernel_size,data_total_rows_test,data_total_rows_train,data_total_rows_valid,dropout,fit_best_round,fit_dt_test_duration_seconds,fit_dt_test_end,fit_dt_test_start,fit_dt_train_duration_seconds,fit_dt_train_end,fit_dt_train_start,fit_num_epochs,fit_stopped_epoch1,fit_stopped_epoch2,fit_stopped_epoch3,fit_test_acc,fit_train_acc,fit_train_loss,fit_val_acc,fit_val_loss,frame_size,layer_1_size,layer_2_size,layer_3_size,model_id,model_param_count,model_weights_path,num_features,path_model,pooling,pretrained_model_name,sequence_length,sequence_model,sequence_model_layers,verbose
1181,video_lrcnn_frozen,32,3,3120,60179,6378,0.2,3.0,6,2019-01-25 09:32:01,2019-01-25 09:31:55,3940,2019-01-25 09:31:53,2019-01-25 08:26:12,11,3,1,4,0.7243589743589743,0.9821841152186693,0.04547997424664521,0.958697322320325,0.13390797019406672,"[224, 224]",256,512,256,5276,4985863,,512.0,/mnt/seals/models/5276/,max,vgg16,20.0,LSTM,2.0,True
1457,video_lrcnn_frozen,32,3,3120,60179,6378,0.2,2.0,3,2019-01-25 09:49:36,2019-01-25 09:49:33,1606,2019-01-25 09:49:31,2019-01-25 09:22:44,10,5,1,1,0.7567307692307692,0.9684441536187067,0.08009661142863896,0.9583165468224615,0.12589047417189492,"[224, 224]",256,128,256,5282,903559,,512.0,/mnt/seals/models/5282/,max,vgg16,20.0,SimpleRNN,2.0,True
1129,video_lrcnn_frozen,32,3,3130,60399,6398,0.2,2.0,15,2019-01-24 07:02:41,2019-01-24 07:02:26,3044,2019-01-24 07:02:13,2019-01-24 06:11:29,13,3,2,5,0.7201277955271566,0.9750137876368103,0.06311263971718623,0.9577993249736677,0.12653893365333438,"[224, 224]",256,512,256,4489,3675143,,512.0,/mnt/seals/models/4489/,max,vgg16,10.0,LSTM,2.0,True
2802,video_lrcnn_frozen,32,3,3120,60179,6378,0.2,3.0,4,2019-01-25 10:02:33,2019-01-25 10:02:29,1811,2019-01-25 10:02:27,2019-01-25 09:32:15,11,4,2,2,0.7442307692307693,0.9682400003572066,0.08090718350677449,0.9576893940955802,0.13697076603354388,"[224, 224]",256,512,256,5284,3214087,,512.0,/mnt/seals/models/5284/,max,vgg16,20.0,SimpleRNN,2.0,True
198,video_lrcnn_frozen,32,3,3130,60399,6398,0.2,3.0,31,2019-01-23 03:34:38,2019-01-23 03:34:06,2353,2019-01-23 03:33:45,2019-01-23 02:54:32,17,3,3,8,0.7182108626198083,0.9622392182212078,0.0941855182483607,0.9575090580301086,0.12244999316492167,"[224, 224]",256,128,0,4571,247047,,512.0,/mnt/seals/models/4571/,max,vgg16,10.0,SimpleRNN,2.0,True
3261,video_lrcnn_frozen,32,3,3125,60289,6388,0.2,3.0,4,2019-01-25 08:07:33,2019-01-25 08:07:29,3216,2019-01-25 08:07:28,2019-01-25 07:13:52,11,4,3,1,0.75232,0.9815104988737333,0.0471927742874879,0.9565032837386421,0.1429538963247107,"[224, 224]",256,512,256,5256,4330503,,512.0,/mnt/seals/models/5256/,max,vgg16,15.0,LSTM,2.0,True
211,video_lrcnn_frozen,32,3,3110,59959,6358,0.2,2.0,3,2019-01-25 15:21:24,2019-01-25 15:21:20,2133,2019-01-25 15:21:19,2019-01-25 14:45:46,9,2,2,2,0.7411575562700965,0.9658623988427303,0.0875792921609135,0.9564553258853276,0.1385805066387846,"[224, 224]",256,512,256,5301,4524807,,512.0,/mnt/seals/models/5301/,max,vgg16,30.0,SimpleRNN,2.0,True
1993,video_lrcnn_frozen,32,3,3130,60399,6398,0.2,3.0,26,2019-01-22 22:58:13,2019-01-22 22:57:46,2099,2019-01-22 22:57:28,2019-01-22 22:22:28,14,5,5,1,0.72555910543131,0.9613995636102981,0.09622224548149085,0.9563479815918642,0.11936372581423353,"[224, 224]",512,256,0,4411,723463,,512.0,/mnt/seals/models/4411/,max,vgg16,10.0,SimpleRNN,2.0,True
1308,video_lrcnn_frozen,32,3,3120,60179,6378,0.2,2.0,3,2019-01-25 12:50:18,2019-01-25 12:50:15,1999,2019-01-25 12:50:14,2019-01-25 12:16:54,11,2,4,2,0.7375,0.9680667079767366,0.08142771953955358,0.9563006948026679,0.14028798324789288,"[224, 224]",512,512,512,5287,6296583,,512.0,/mnt/seals/models/5287/,max,vgg16,20.0,SimpleRNN,2.0,True
1843,video_lrcnn_frozen,32,3,3090,59519,6318,0.2,2.0,7,2019-01-25 18:40:00,2019-01-25 18:39:53,3950,2019-01-25 18:39:52,2019-01-25 17:34:02,11,5,2,1,0.7579288025889968,0.9662532851130762,0.08890420713643336,0.9562700831954258,0.17916006468715226,"[224, 224]",256,512,256,5313,7146247,,512.0,/mnt/seals/models/5313/,max,vgg16,50.0,SimpleRNN,2.0,True
201,video_lrcnn_frozen,32,3,3115,60069,6368,0.2,2.0,3,2019-01-25 15:22:09,2019-01-25 15:22:06,2180,2019-01-25 15:22:05,2019-01-25 14:45:45,13,2,1,7,0.7386837881219903,0.9691117241641025,0.07861288407782971,0.9562544987429327,0.1235702910540092,"[224, 224]",256,128,256,5297,1067399,,512.0,/mnt/seals/models/5297/,max,vgg16,25.0,SimpleRNN,2.0,True
2852,video_lrcnn_frozen,32,3,3130,60399,6398,0.2,3.0,12,2019-01-24 03:25:23,2019-01-24 03:25:11,3429,2019-01-24 03:25:01,2019-01-24 02:27:51,19,9,4,3,0.739297124600639,0.9719626497228793,0.07034053538936384,0.9561247017168186,0.1347407722527178,"[224, 224]",512,128,128,4437,1985415,,512.0,/mnt/seals/models/4437/,max,vgg16,10.0,GRU,2.0,True
1908,video_lrcnn_frozen,32,3,3120,60179,6378,0.2,2.0,5,2019-01-25 11:12:07,2019-01-25 11:12:01,2973,2019-01-25 11:11:59,2019-01-25 10:22:25,8,1,3,1,0.7310897435897437,0.9738898116511916,0.06655080875150278,0.9560319108251271,0.14158308634977798,"[224, 224]",512,128,512,5288,3135367,,512.0,/mnt/seals/models/5288/,max,vgg16,20.0,GRU,2.0,True
2452,video_lrcnn_frozen,32,3,3120,60179,6378,0.2,3.0,4,2019-01-25 11:44:58,2019-01-25 11:44:54,2876,2019-01-25 11:44:52,2019-01-25 10:56:55,21,8,2,8,0.7121794871794872,0.9706494780741585,0.07405178929325487,0.9560095129546868,0.14944465390756123,"[224, 224]",512,256,512,5294,3347207,,512.0,/mnt/seals/models/5294/,max,vgg16,20.0,SimpleRNN,2.0,True
1699,video_lrcnn_frozen,32,3,3120,60179,6378,0.2,3.0,4,2019-01-25 13:10:15,2019-01-25 13:10:11,3195,2019-01-25 13:10:10,2019-01-25 12:16:55,10,3,1,3,0.7602564102564102,0.9749604267268914,0.06536903416944641,0.9558751224985539,0.13776093688301388,"[224, 224]",512,128,128,5279,2149255,,512.0,/mnt/seals/models/5279/,max,vgg16,20.0,GRU,2.0,True
1219,video_lrcnn_frozen,32,3,3125,60289,6388,0.2,3.0,2,2019-01-25 07:49:22,2019-01-25 07:49:20,2127,2019-01-25 07:49:19,2019-01-25 07:13:51,14,4,2,5,0.70208,0.9714494342421467,0.07310395549687086,0.955608746523251,0.12489564250746442,"[224, 224]",512,128,512,5260,2234503,,512.0,/mnt/seals/models/5260/,max,vgg16,15.0,LSTM,1.0,True
2571,video_lrcnn_frozen,32,3,3125,60289,6388,0.2,2.0,4,2019-01-25 08:48:58,2019-01-25 08:48:54,3484,2019-01-25 08:48:52,2019-01-25 07:50:48,13,4,1,5,0.74912,0.9781884039649937,0.055716395239452876,0.9554298399535283,0.13725115164750504,"[224, 224]",128,512,512,5270,5577223,,512.0,/mnt/seals/models/5270/,max,vgg16,15.0,LSTM,2.0,True
2794,video_lrcnn_frozen,32,3,3130,60399,6398,0.2,3.0,27,2019-01-23 00:18:48,2019-01-23 00:18:20,3032,2019-01-23 00:17:58,2019-01-22 23:27:25,17,2,7,5,0.7054313099041534,0.9701035846339371,0.07512775578168385,0.9554101870968477,0.12440499077135043,"[224, 224]",512,128,512,4416,2234503,,512.0,/mnt/seals/models/4416/,max,vgg16,10.0,LSTM,1.0,True
2741,video_lrcnn_frozen,32,3,3130,60399,6398,0.2,3.0,15,2019-01-24 08:58:42,2019-01-24 08:58:26,3092,2019-01-24 08:58:13,2019-01-24 08:06:40,16,3,1,9,0.7511182108626198,0.971650440982364,0.07034489542406722,0.955365534926549,0.15080185872702048,"[224, 224]",128,512,512,4613,3856263,,512.0,/mnt/seals/models/4613/,max,vgg16,10.0,GRU,2.0,True
