,dt_duration_seconds,dt_end,dt_start,fit_batch_size,fit_num_classes,fit_num_epochs,fit_stopped_early,fit_stopper_patience,fit_test_acc,fit_train_acc,fit_train_loss,fit_val_acc,fit_val_loss,id,model_architecture,model_dropout,model_layer_1_sizefactor,model_layer_2_sizefactor,model_layer_3_sizefactor,model_num_features,model_sequence_length,param_count,pretrained_model_name,pretrained_model_pooling,shape_x_test,shape_y_train
114,155,2018-12-16 19:15:04,2018-12-16 19:12:29,32,2,14,True,5,0.822742474916388,0.9207454433749744,0.21411628626666912,0.9452411992453534,0.192172565524576,245,MLP,0.2,8,4,4,1536,3,3983618,inception_resnet_v2,avg,"(299, 3, 1536)","(9766, 2)"
247,829,2018-12-16 22:20:45,2018-12-16 22:06:55,32,2,35,True,10,0.9230769230769231,0.9205406512389924,0.2128671660817917,0.9448066058753626,0.21216168857201034,273,LSTM,0.2,1,4,0,1536,3,19471490,inception_resnet_v2,avg,"(299, 3, 1536)","(9766, 2)"
37,734,2018-12-16 23:24:46,2018-12-16 23:12:32,32,2,28,True,10,0.862876254180602,0.910301044427687,0.2387816987942409,0.9430682309706903,0.22584207593643474,281,LSTM,0.2,1,8,0,1536,3,19176002,inception_resnet_v2,avg,"(299, 3, 1536)","(9766, 2)"
88,794,2018-12-16 21:03:18,2018-12-16 20:50:04,32,2,35,True,10,0.8729096989966555,0.9180831456194153,0.2144395112014808,0.9413298565840938,0.18751853135702196,263,LSTM,0.2,1,0,8,1536,3,18883586,inception_resnet_v2,avg,"(299, 3, 1536)","(9766, 2)"
262,126,2018-12-16 17:37:25,2018-12-16 17:35:18,32,2,16,True,5,0.9297658862876255,0.9296539012901904,0.1938077149908519,0.9408952629809688,0.18858883157210576,185,MLP,0.2,2,8,0,1536,3,3687746,inception_resnet_v2,avg,"(299, 3, 1536)","(9766, 2)"
268,121,2018-12-16 17:22:01,2018-12-16 17:19:59,32,2,13,True,5,0.9297658862876255,0.9137825107393805,0.23580163926002118,0.940460669092902,0.2540042516668171,175,MLP,0.2,2,2,8,1536,3,4278338,inception_resnet_v2,avg,"(299, 3, 1536)","(9766, 2)"
231,96,2018-12-16 17:25:50,2018-12-16 17:24:14,32,2,10,True,5,0.9096989966555185,0.9132705303994256,0.235833885488807,0.940026075619296,0.21658391798516555,177,MLP,0.2,2,4,0,1536,3,3835778,inception_resnet_v2,avg,"(299, 3, 1536)","(9766, 2)"
144,542,2018-12-16 22:37:01,2018-12-16 22:27:59,32,2,18,True,10,0.8127090301003345,0.8983207044727413,0.26551587713343333,0.9395914817312291,0.22235484395349403,275,LSTM,0.2,1,4,2,1536,3,19767938,inception_resnet_v2,avg,"(299, 3, 1536)","(9766, 2)"
125,702,2018-12-16 20:21:01,2018-12-16 20:09:18,32,2,30,True,10,0.919732441471572,0.9222813843826326,0.2107113890171344,0.9391568885943725,0.18839830575896988,257,LSTM,0.2,1,0,0,1536,3,18883586,inception_resnet_v2,avg,"(299, 3, 1536)","(9766, 2)"
11,123,2018-12-16 18:22:20,2018-12-16 18:20:17,32,2,12,True,5,0.8461538461538461,0.9163424124513618,0.23024179144721832,0.9382877007664312,0.23264624241873888,213,MLP,0.2,4,4,4,1536,3,3983618,inception_resnet_v2,avg,"(299, 3, 1536)","(9766, 2)"
198,286,2018-12-17 00:30:27,2018-12-17 00:25:40,32,2,16,True,10,0.8193979933110368,0.8991398730288757,0.26020726399199046,0.9378531071633062,0.2184514545166508,289,LSTM,0.2,2,0,0,1536,3,7082498,inception_resnet_v2,avg,"(299, 3, 1536)","(9766, 2)"
124,108,2018-12-16 16:43:26,2018-12-16 16:41:38,32,2,15,True,5,0.9431438127090301,0.9164448085193528,0.21707091987905092,0.9378531071114986,0.22046390211437122,145,MLP,0.2,1,4,0,1536,3,3835778,inception_resnet_v2,avg,"(299, 3, 1536)","(9766, 2)"
91,119,2018-12-16 18:25:56,2018-12-16 18:23:57,32,2,10,True,5,0.7190635451505016,0.9052836370961285,0.2517776068314504,0.9369839203197093,0.2782504065354872,215,MLP,0.2,4,4,8,1536,3,3909314,inception_resnet_v2,avg,"(299, 3, 1536)","(9766, 2)"
58,96,2018-12-16 16:53:40,2018-12-16 16:52:04,32,2,12,True,5,0.9464882943143813,0.9183903337989751,0.2207745471353197,0.9369839198016333,0.22628481714609444,153,MLP,0.2,1,8,0,1536,3,3687746,inception_resnet_v2,avg,"(299, 3, 1536)","(9766, 2)"
